Output data:
OUT[0][10][8] = 67212032.000000
OUT[0][10][9] = 67222320.000000
OUT[0][10][10] = 67232608.000000
OUT[0][10][11] = 67242912.000000
OUT[0][10][12] = 67253216.000000
OUT[0][10][13] = 67263504.000000
OUT[0][10][14] = 44612396.000000
OUT[0][10][15] = 45092880.000000
OUT[0][11][0] = 67294400.000000
OUT[0][11][1] = 67304688.000000
OUT[0][11][2] = 67314976.000000
OUT[0][11][3] = 67325280.000000
OUT[0][11][4] = 67335584.000000
OUT[0][11][5] = 67345872.000000
OUT[0][11][6] = 67356160.000000
OUT[0][11][7] = 67366440.000000
OUT[0][11][8] = 67376768.000000
OUT[0][11][9] = 67387056.000000
OUT[0][11][10] = 67397344.000000
OUT[0][11][11] = 67407648.000000
OUT[0][11][12] = 67417952.000000
OUT[0][11][13] = 67428240.000000
OUT[0][11][14] = 67438528.000000
OUT[0][11][15] = 67448808.000000
OUT[0][12][0] = 67459136.000000
OUT[0][12][1] = 67469424.000000
OUT[0][12][2] = 67479712.000000
OUT[0][12][3] = 67490016.000000
OUT[0][12][4] = 67500320.000000
OUT[0][12][5] = 67510608.000000
OUT[0][12][6] = 67520896.000000
OUT[0][12][7] = 44782800.000000
OUT[0][12][8] = 45265684.000000
OUT[0][12][9] = 67551792.000000
OUT[0][12][10] = 67562080.000000
OUT[0][12][11] = 67572384.000000
OUT[0][12][12] = 67582688.000000
OUT[0][12][13] = 67592976.000000
OUT[0][12][14] = 67603264.000000
OUT[0][12][15] = 67613544.000000
OUT[0][13][0] = 67623872.000000
OUT[0][13][1] = 67634160.000000
OUT[0][13][2] = 67644448.000000
OUT[0][13][3] = 67654752.000000
OUT[0][13][4] = 67665056.000000
OUT[0][13][5] = 67675344.000000
OUT[0][13][6] = 67685632.000000
OUT[0][13][7] = 67695912.000000
OUT[0][13][8] = 67706240.000000
OUT[0][13][9] = 67716528.000000
OUT[0][13][10] = 67726816.000000
OUT[0][13][11] = 67737120.000000
OUT[0][13][12] = 67747424.000000
OUT[0][13][13] = 67757712.000000
OUT[0][13][14] = 67768000.000000
OUT[0][13][15] = 67778280.000000
OUT[0][14][0] = 44953204.000000
OUT[0][14][1] = 45438480.000000
OUT[0][14][2] = 67809184.000000
OUT[0][14][3] = 67819488.000000
OUT[0][14][4] = 67829792.000000
OUT[0][14][5] = 67840080.000000
OUT[0][14][6] = 67850368.000000
OUT[0][14][7] = 67860648.000000
OUT[0][14][8] = 67870976.000000
OUT[0][14][9] = 67881264.000000
OUT[0][14][10] = 67891552.000000
OUT[0][14][11] = 67901856.000000
OUT[0][14][12] = 67912160.000000
OUT[0][14][13] = 67922448.000000
OUT[0][14][14] = 67932736.000000
OUT[0][14][15] = 67943016.000000
OUT[0][15][0] = 67953344.000000
OUT[0][15][1] = 67963632.000000
OUT[0][15][2] = 67973920.000000
OUT[0][15][3] = 67984224.000000
OUT[0][15][4] = 67994528.000000
OUT[0][15][5] = 68004816.000000
OUT[0][15][6] = 68015104.000000
OUT[0][15][7] = 68025384.000000
OUT[0][15][8] = 68035712.000000
OUT[0][15][9] = 45123608.000000
OUT[0][15][10] = 45611276.000000
OUT[0][15][11] = 68066592.000000
OUT[0][15][12] = 68076896.000000
OUT[0][15][13] = 68087184.000000
OUT[0][15][14] = 68097472.000000
OUT[0][15][15] = 68107752.000000
OUT[0][16][0] = 68118080.000000
OUT[0][16][1] = 68128368.000000
OUT[0][16][2] = 68138656.000000
OUT[0][16][3] = 68148960.000000
OUT[0][16][4] = 68159264.000000
OUT[0][16][5] = 68169552.000000
OUT[0][16][6] = 68179840.000000
OUT[0][16][7] = 68190120.000000
OUT[0][16][8] = 68200448.000000
OUT[0][16][9] = 68210736.000000
OUT[0][16][10] = 68221024.000000
OUT[0][16][11] = 68231328.000000
OUT[0][16][12] = 68241632.000000
OUT[0][16][13] = 68251920.000000
OUT[0][16][14] = 68262208.000000
OUT[0][16][15] = 68272488.000000
OUT[0][17][0] = 68282816.000000
OUT[0][17][1] = 68293104.000000
OUT[0][17][2] = 45293996.000000
OUT[0][17][3] = 45784076.000000
OUT[0][17][4] = 68324000.000000
OUT[0][17][5] = 68334288.000000
OUT[0][17][6] = 68344576.000000
OUT[0][17][7] = 68354856.000000
OUT[0][17][8] = 68365184.000000
OUT[0][17][9] = 68375472.000000
OUT[0][17][10] = 68385760.000000
OUT[0][17][11] = 68396064.000000
OUT[0][17][12] = 68406368.000000
OUT[0][17][13] = 68416656.000000
OUT[0][17][14] = 68426944.000000
OUT[0][17][15] = 68437224.000000
OUT[0][18][0] = 68447552.000000
OUT[0][18][1] = 68457840.000000
OUT[0][18][2] = 68468128.000000
OUT[0][18][3] = 68478432.000000
OUT[0][18][4] = 68488736.000000
OUT[0][18][5] = 68499024.000000
OUT[0][18][6] = 68509312.000000
OUT[0][18][7] = 68519592.000000
OUT[0][18][8] = 68529920.000000
OUT[0][18][9] = 68540208.000000
OUT[0][18][10] = 68550496.000000
OUT[0][18][11] = 45464400.000000
OUT[0][18][12] = 45956884.000000
OUT[0][18][13] = 68581392.000000
OUT[0][18][14] = 68591680.000000
OUT[0][18][15] = 68601960.000000
OUT[0][19][0] = 68612288.000000
OUT[0][19][1] = 68622576.000000
